zipcode,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
15132,18.276,7.363,10.743,10.906,7.5,14.792,8.644,13.282,3.988,20.643,19.358,2.273,3.193,5.967,12.447,7.764,17.618,20.051,10.652,0.582,17.248,23.253,11.433,21.161,16.163,16.225,8.84,14.006,23.798,9.835,7.486,12.122,24.517,12.819,14.058,1.708,17.47,8.511,14.628,4.564,15.317,6.196,12.184,22.409,3.524,7.553,6.786
15133,18.222,6.467,9.605,10.473,6.827,14.17,8.087,12.537,2.576,20.272,20.279,3.216,4.655,4.98,13.278,9.183,18.203,21.285,9.931,2.048,16.793,22.793,10.586,21.389,16.272,16.141,9.973,13.987,24.251,10.248,7.75,13.386,24.245,13.77,14.35,0.267,16.505,7.149,15.793,4.705,15.004,4.846,11.05,21.682,3.967,8.211,7.654
15135,20.812,9.388,12.411,13.307,9.733,17.076,10.965,15.46,4.206,23.086,21.457,4.692,3.869,4.624,14.686,8.841,20.02,21.598,12.85,2.682,19.645,25.651,13.508,23.692,18.707,18.755,10.741,16.545,26.258,12.338,10.026,13.677,27.003,14.925,16.583,3.154,19.394,9.662,16.376,7.104,17.781,7.45,13.852,24.605,6.061,9.969,9.066
15136,4.656,8.797,9.191,3.963,7.824,3.376,6.443,4.726,15.029,6.062,15.403,12.996,16.043,18.183,10.8,16.347,10.306,20.496,5.625,14.704,3.096,8.817,6.204,9.262,4.596,2.823,13.057,2.747,13.505,7.326,7.946,15.863,9.928,12.213,5.75,14.156,8.346,12.032,15.768,10.168,0.715,12.188,9.083,9.42,11.392,9.62,11.024
15137,17.893,9.238,12.94,11.613,8.944,15.746,9.762,14.549,7.203,20.909,16.882,2.347,1.274,8.97,10.285,4.545,15.862,17.013,11.977,2.646,17.769,23.679,12.986,20.109,15.475,15.959,6.12,13.674,22.232,8.764,7.003,9.074,24.508,10.383,13.039,4.855,19.129,11.265,11.732,4.975,15.58,8.987,14.333,23.449,3.743,6.12,4.911
15139,12.919,13.742,17.074,12.062,12.597,15.448,12.21,15.522,15.934,17.395,6.863,10.363,11.097,18.493,1.934,7.414,7.099,8.624,13.966,12.137,15.641,20.274,15.258,12.755,10.142,11.832,3.932,10.106,13.384,6.072,7.816,3.684,19.687,0.648,7.48,13.638,20.32,17.459,3.18,9.815,13.218,15.808,17.999,22.013,9.841,5.933,5.958
15140,18.283,11.173,14.941,12.887,10.702,17.057,11.33,16.061,9.534,21.702,15.508,4.442,2.758,11.14,9.407,2.246,15.195,15.002,13.578,4.968,18.777,24.546,14.68,19.953,15.696,16.476,4.847,14.206,21.627,8.988,7.829,7.129,25.071,9.202,13.077,7.195,20.794,13.499,9.956,6.58,16.466,11.249,16.296,24.713,5.489,6.324,4.909
15142,11.096,7.343,4.704,5.969,7.408,3.626,6.73,2.524,13.237,9.642,21.948,14.04,17.224,15.924,16.342,19.371,17.086,26.425,4.491,15.047,6.441,11.046,3.367,15.929,11.51,9.646,17.066,9.378,20.309,11.968,11.003,20.527,13.754,17.689,12.243,13.527,2.782,8.241,21.198,11.468,6.978,9.674,3.598,8.386,12.634,13.199,14.3
15143,4.257,17.062,17.054,12.218,16.071,10.209,14.69,12.194,23.253,4.24,15.79,20.612,23.402,26.421,14.824,22.5,10.691,22.135,13.787,22.478,7.085,5.454,14.12,5.25,6.861,6.252,18.689,8.507,9.199,13.53,15.202,20.33,3.184,16.029,9.602,22.22,13.38,20.168,19.044,17.916,7.678,20.449,16.604,9.673,19.054,16.21,17.61
15144,15.661,16.445,19.906,15.078,15.361,18.502,15.088,18.554,17.897,20.244,6.61,12.191,12.177,20.178,4.919,7.628,8.936,5.977,16.926,13.729,18.641,23.095,18.221,14.877,12.929,14.73,5.438,13.102,14.695,9.078,10.597,2.515,22.29,3.508,10.369,15.519,23.368,20.024,0.453,12.205,16.233,18.22,20.892,25.002,11.996,8.539,8.192
